Document ID,Docket ID,Title,Petition Date,Response Date,FDA Center,Petitioner,"Type of Document (Petition, Interim Response, Final Response)",Response Type,Mined_Response_Type,Document_Role,is_scanned
FDA-2007-P-0170-0002,FDA-2007-P-0170,Teva Pharmaceuticals USA - Citizen Petition,8/5/07,,CDER,Teva Pharmaceuticals Usa,Petition,Denied,Denied,Correspondence,True
FDA-2007-P-0170-0008,FDA-2007-P-0170,FDA/CDER Interim Response to Teva Pharmaceuticals USA - Letter,,2/7/08,CDER,Teva Pharmaceuticals Usa,Interim Response,Denied,Denied,Initial Petition,False
FDA-2007-P-0170-0009,FDA-2007-P-0170,FDA/CDER Response to Teva Pharmaceuticals USA - Petition Denial,,3/12/08,CDER,Teva Pharmaceuticals Usa,Final Response,Denied,Denied,Other Document,True
FDA-2007-P-0171-0004,FDA-2007-P-0171,Warner Chilcott Inc. - Citizen Petition,4/9/07,,CDER,Warner Chilcott Inc.,Petition,Denied,Denied,Other Document,False
FDA-2007-P-0171-0003,FDA-2007-P-0171,"FDA/CDER tp Warner Chilcott, Inc. - Interim Response",,10/9/07,CDER,Warner Chilcott Inc.,Interim Response,Denied,Denied,Other Document,True
FDA-2007-P-0171-0006,FDA-2007-P-0171,FDA to Warner Chilcott Inc. - Petition Denial,,10/29/09,CDER,Warner Chilcott Inc.,Final Response,Denied,Denied,Interim FDA Response,False
FDA-2007-P-0172-0002,FDA-2007-P-0172,"Thunder Bay Seafood Co., Inc - Petition for Stay",9/19/07,,ORA,"Thunder Bay Seafood Co., Inc",Petition,No response,No response,Other Document,True
FDA-2007-P-0175-0002,FDA-2007-P-0175,VCU School of Medicine - Citizen Petition,10/17/07,,CDER,Vcu School Of Medicine,Petition,No response,No response,Other Document,True
FDA-2007-P-0176-0003,FDA-2007-P-0176,"Lachman Consultant Services, Inc. - Citizen Petition",8/3/07,,CDER,"Lachman Consultant Services, Inc.",Petition,Withdrawn,Withdrawn,Correspondence,False
FDA-2007-P-0177-0003,FDA-2007-P-0177,"Citizen Petition from Lachman Consultant Services, Inc.",2/28/07,,CDER,"Lachman Consultant Services, Inc.",Petition,Partially approved or denied,Partially approved or denied,Correspondence,False
FDA-2007-P-0177-0007,FDA-2007-P-0177,"Citizen Petition Partial Approval and Denial Response from FDA CDER to Lachman Consulting Services, Inc.",,10/16/13,CDER,"Lachman Consultant Services, Inc.",Final Response,Partially approved or denied,Partially approved or denied,Correspondence,False
FDA-2007-P-0178-0002,FDA-2007-P-0178,John Edward Erb - Citizen Petition,12/26/07,,CFSAN,John Edward Erb,Petition,Denied,Denied,Initial Petition,False
FDA-2007-P-0178-0065,FDA-2007-P-0178,FDA/CFSAN Interim Response to John Edwards Erb - Letter,,11/5/08,CFSAN,John Edward Erb,Interim Response,Denied,Denied,Correspondence,True
FDA-2007-P-0178-0090,FDA-2007-P-0178,FDA/CFSAN to John Erb - Petition Denial,,11/8/12,CFSAN,John Edward Erb,Final Response,Denied,Denied,Interim FDA Response,True
FDA-2007-P-0179-0004,FDA-2007-P-0179,Pfizer Inc. - Petition for Stay,3/21/07,,CDER,Pfizer Inc.,Petition,Denied,Denied,Correspondence,False
FDA-2007-P-0179-0003,FDA-2007-P-0179,FDA Response to Pfizer Inc. - Petition Denial,,5/23/07,CDER,Pfizer Inc.,Final Response,Denied,Denied,Correspondence,False
FDA-2007-P-0180-0002,FDA-2007-P-0180,The Alliance Against Alveolar Soft Part Sarcoma and The Sarcoma Foundation of America - Citizen Petition,10/26/07,,CDER,The Alliance Against Alveolar Soft Part Sarcoma And The Sarcoma Foundation Of America,Petition,Denied,Denied,Correspondence,False
FDA-2007-P-0180-0007,FDA-2007-P-0180,"FDA/CDER Interim Response to Covington & Burling, LLP - Letter",,4/23/08,CDER,The Alliance Against Alveolar Soft Part Sarcoma And The Sarcoma Foundation Of America,Interim Response,Denied,Denied,Initial Petition,False
FDA-2007-P-0180-0021,FDA-2007-P-0180,FDA/CDER to Covington & Burling - Petition Denial,,6/30/10,CDER,The Alliance Against Alveolar Soft Part Sarcoma And The Sarcoma Foundation Of America,Final Response,Denied,Denied,Final FDA Response,False
